"service","action_id","action"
"RECV","0","delivered"
"RECV","1","blocked"
"RECV","2","blocked"
"RECV","3","quarantined"
"RECV","4","unknown"
"RECV","5","unknown"
"RECV","6","quarantined"
"RECV","7","unknown"
"RECV","8","delivered"
"RECV","9","unknown"
"RECV","10","unknown"
"SCAN","0","delivered"
"SCAN","1","blocked"
"SCAN","2","blocked"
"SCAN","3","quarantined"
"SCAN","4","unknown"
"SCAN","5","unknown"
"SCAN","6","quarantined"
"SCAN","7","unknown"
"SCAN","8","delivered"
"SCAN","9","unknown"
"SCAN","10","unknown"
"SEND","1","delivered"
"SEND","2","blocked"
"SEND","3","unknown"
"SEND","4","unknown"
